_id,ticket_number,case_status,short_desc,case_desc,issue_type,assigned_to,resolution_code,resolution_notes
656d306774f6a1b94b693723,T000000001,new,Short Desc 1,Case Desc 1,wired,Assignee1,reboot,Note for reboot
656d306774f6a1b94b693724,T000000002,new,Short Desc 2,Case Desc 2,wired,Assignee2,replacement,Note for replacement
656d306774f6a1b94b693725,T000000003,new,Short Desc 3,Case Desc 3,wired,Assignee3,vendor resolved,Note for vendor resolved
656d306774f6a1b94b693726,T000000004,new,Short Desc 4,Case Desc 4,wired,Assignee4,updated configuration,Note for updated configuration
656d306774f6a1b94b693727,T000000005,new,Short Desc 5,Case Desc 5,wired,Assignee5,others,Note for others
656d306774f6a1b94b693728,T000000006,new,Short Desc 6,Case Desc 6,wired,Assignee6,remote fix,Note for remote fix
656d306774f6a1b94b693729,T000000007,new,Short Desc 7,Case Desc 7,wired,Assignee7,reboot,Note for reboot
656d306774f6a1b94b69372a,T000000008,new,Short Desc 8,Case Desc 8,wired,Assignee8,replacement,Note for replacement
656d306774f6a1b94b69372b,T000000009,new,Short Desc 9,Case Desc 9,wired,Assignee9,vendor resolved,Note for vendor resolved
656d306774f6a1b94b69372c,T000000010,new,Short Desc 10,Case Desc 10,wired,Assignee10,updated configuration,Note for updated configuration
656d306774f6a1b94b69372d,T000000011,new,Short Desc 11,Case Desc 11,wired,Assignee11,others,Note for others
656d306774f6a1b94b69372e,T000000012,new,Short Desc 12,Case Desc 12,wired,Assignee12,remote fix,Note for remote fix
656d306774f6a1b94b69372f,T000000013,new,Short Desc 13,Case Desc 13,wired,Assignee13,reboot,Note for reboot
656d306774f6a1b94b693730,T000000014,new,Short Desc 14,Case Desc 14,wired,Assignee14,replacement,Note for replacement
656d306774f6a1b94b693731,T000000015,new,Short Desc 15,Case Desc 15,wired,Assignee15,vendor resolved,Note for vendor resolved
656d306774f6a1b94b693732,T000000016,new,Short Desc 16,Case Desc 16,wired,Assignee16,updated configuration,Note for updated configuration
656d306774f6a1b94b693733,T000000017,new,Short Desc 17,Case Desc 17,wired,Assignee17,others,Note for others
656d306774f6a1b94b693734,T000000018,new,Short Desc 18,Case Desc 18,wired,Assignee18,remote fix,Note for remote fix
656d306774f6a1b94b693735,T000000019,new,Short Desc 19,Case Desc 19,wired,Assignee19,reboot,Note for reboot
656d306774f6a1b94b693736,T000000020,new,Short Desc 20,Case Desc 20,wired,Assignee20,replacement,Note for replacement
656d306774f6a1b94b693737,T000000021,new,Short Desc 21,Case Desc 21,wired,Assignee21,vendor resolved,Note for vendor resolved
656d306774f6a1b94b693738,T000000022,new,Short Desc 22,Case Desc 22,wired,Assignee22,updated configuration,Note for updated configuration
656d306774f6a1b94b693739,T000000023,new,Short Desc 23,Case Desc 23,wired,Assignee23,others,Note for others
656d306774f6a1b94b69373a,T000000024,new,Short Desc 24,Case Desc 24,wired,Assignee24,remote fix,Note for remote fix
656d306774f6a1b94b69373b,T000000025,new,Short Desc 25,Case Desc 25,wired,Assignee25,reboot,Note for reboot
656d306774f6a1b94b69373c,T000000026,new,Short Desc 26,Case Desc 26,wired,Assignee26,replacement,Note for replacement
